symbol,industry,sector
ANMOL,Trading,Services
ANSALAPI,Construction,Industrials
ANTELOPUS,Oil Drilling / Allied Services,Energy
ANTGRAPHIC,Diversified - Medium / Small,Miscellaneous
ANTHEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
ANUHPHR,Pharmaceuticals - Indian - Bulk Drugs,Healthcare
ANUP,Engineering,Industrials
ANURAS,Chemicals,Chemicals
APARINDS,Electric Equipment,Industrials
APCL,Cement - South India,Building Materials
APCOTEXIND,Miscellaneous,Chemicals
APEX,Aquaculture,Fmcg
APLAPOLLO,Steel - Large,Industrials
APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
APOLLO,Electronics - Components,Aerospace & Defence
APOLLOHOSP,Healthcare,Healthcare
APOLLOPIPE,Plastics Products,Plastic Products
APOLLOTYRE,Tyres,Auto
APOLSINHOT,Hotels,Services
APTECHT,Computers - Education,I.T
APTUS,Finance - Housing,Financials
AQYLON,Entertainment / Electronic Media Software,Media
ARCHIDPLY,Miscellaneous,Building Materials
ARCHIES,Trading,Consumer Discretionary
ARE&M,Auto Ancillaries,Auto
ARENTERP,Trading,Metals & Mining
ARFIN,Aluminium And Aluminium Products,Metals & Mining
ARIES,Fertilizers,Chemicals
ARIHANT,Construction,Industrials
ARIHANTCAP,Finance & Investments,Financials
ARIHANTSUP,Construction,Industrials
ARIS,Trading,Services
ARKADE,Construction,Industrials
ARMANFIN,Finance & Investments,Financials
AROGRANITE,Miscellaneous,Consumer Discretionary
ARROWGREEN,Plastics Products,Plastic Products
ARSHIYA,Miscellaneous,Transportation
ARSSBL,Finance & Investments,Financials
ARTEMISMED,Healthcare,Healthcare
ARTNIRMAN,Construction,Industrials
ARVEE,Chemicals,Chemicals
ARVIND,Textiles - Cotton/Blended,Textiles
ARVINDFASN,Trading,Consumer Discretionary
ARVSMART,Construction,Industrials
ASAHIINDIA,Glass & Glass Products,Building Materials
ASAHISONG,Dyes And Pigments,Chemicals
ASAL,Auto Ancillaries,Auto
ASALCBR,Breweries & Distilleries,Fmcg
ASHAPURMIN,Mining / Minerals / Metals,Metals & Mining
ASHIANA,Construction,Industrials
ASHIMASYN,Diversified - Medium / Small,Miscellaneous
ASHOKA,Engineering - Turnkey Services,Industrials
ASHOKAMET,Trading,Metals & Mining
ASHOKLEY,Automobiles - Lcvs / Hcvs,Auto
ASIANENE,Oil Drilling / Allied Services,Energy
ASIANHOTNR,Hotels,Services
ASIANPAINT,Paints / Varnishes,Building Materials
ASIANTILES,Ceramics - Tiles / Sanitaryware,Building Materials
ASKAUTOLTD,Auto Ancillaries,Auto
ASMS,Computers - Software - Medium / Small,I.T
ASPINWALL,Diversified - Medium / Small,Miscellaneous
ASTAR,Diamond Cutting / Jewellery,Consumer Discretionary
ASTEC,Pesticides / Agrochemicals - Indian,Chemicals
ASTERDM,Healthcare,Healthcare
ASTRAL,Plastics Products,Plastic Products
ASTRAMICRO,Telecommunications - Equipment,Aerospace & Defence
ASTRAZEN,Pharmaceuticals - Multinational,Healthcare
ASTRON,Paper,Building Materials
ATALREAL,Construction,Industrials
ATAM,Engineering,Industrials
ATGL,Miscellaneous,Energy
ATHERENERG,Automobiles - Scooters And 3 - Wheelers,Auto
ATL,Miscellaneous,Transportation
ATLANTAA,Engineering - Turnkey Services,Industrials
ATLANTAELE,Electric Equipment,Industrials
ATLASCYCLE,Cycles And Accessories,Consumer Discretionary
ATUL,Chemicals,Chemicals
ATULAUTO,Automobiles - Scooters And 3 - Wheelers,Auto
AUBANK,Banks - Private Sector,Bank
AURIONPRO,Computers - Software - Medium / Small,I.T
AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
AURUM,Computers - Software - Medium / Small,I.T
AUSOMENT,Trading,Consumer Discretionary
AUTOAXLES,Auto Ancillaries,Auto
AUTOIND,Auto Ancillaries,Auto
AVADHSUGAR,Sugar,Fmcg
AVALON,Electronics - Components,Consumer Discretionary
AVANTEL,Telecommunications - Equipment,Aerospace & Defence
AVANTIFEED,Food - Processing - Indian,Fmcg
AVG,Miscellaneous,Transportation
AVL,Trading,Consumer Discretionary
AVONMORE,Finance & Investments,Financials
AVROIND,Plastics Products,Plastic Products
AVTNPL,Solvent Extraction,Fmcg
AWFIS,Miscellaneous,Co-Working
AWHCL,Miscellaneous,Miscellaneous
AWL,Solvent Extraction,Fmcg
AXISBANK,Banks - Private Sector,Bank
AXISCADES,Computers - Software - Medium / Small,Aerospace & Defence
AXITA,Textiles - Products,Textiles
AYE,Finance & Investments,Financials
AYMSYNTEX,Textiles - Processing,Textiles
AZAD,Engineering,Aerospace & Defence
BAFNAPH,Pharmaceuticals - Indian - Formulations,Healthcare
BAGFILMS,Entertainment / Electronic Media Software,Media
BAIDFIN,Finance & Investments,Financials
BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,Auto
BAJAJCON,Personal Care - Indian,Fmcg
BAJAJELEC,Domestic Appliances,Consumer Discretionary
BAJAJFINSV,Finance & Investments,Financials
BAJAJHCARE,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
BAJAJHFL,Finance - Housing,Financials
BAJAJHIND,Sugar,Fmcg
BAJAJHLDNG,Finance & Investments,Financials
BAJAJINDEF,Engineering,Industrials
BAJAJST,Engineering,Industrials
BAJEL,Engineering - Turnkey Services,Industrials
BAJFINANCE,Finance & Investments,Financials
BALAJEE,Packaging,Industrials
BALAJITELE,Entertainment / Electronic Media Software,Media
